"original_text","normalize_text","language","category","flag","last_update","remark"
" masing2","masing-masing ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" jgk","juga ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" ye","ya ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" dak","tidak ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" mcm","macam ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" bf","before ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" mnum","minum ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" pyh","payah ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" bla","bila ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" dpt","dapat ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" jgn","jangan ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" dgn","dengan ","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" anak2","anak-anak","Malay","VOC_EDITOR","1","2018-04-18 10:09:36",\N
" nak","mahu ","Malay","VOC_EDITOR","1","2018-04-18 10:12:28",\N
" kt","dekat ","Malay","VOC_EDITOR","1","2018-04-18 10:13:13",\N
" da","sudah","Malay","VOC_EDITOR","1","2018-04-18 10:13:13",\N
"jng","jangan ","Malay","VOC_EDITOR","1","2018-04-18 10:16:13",\N
" ckp","cukup ","Malay","VOC_EDITOR","1","2018-04-18 10:16:13",\N
" tk","tidak","Malay","VOC_EDITOR","1","2018-04-18 10:16:13",\N
" habis2","habis-habis ","Malay","VOC_EDITOR","1","2018-04-18 10:17:34",\N
" pegi","pergi ","Malay","VOC_EDITOR","1","2018-04-18 10:17:34",\N
" org","orang ","Malay","VOC_EDITOR","1","2018-04-18 10:17:34",\N
" takde","tiada ","Malay","VOC_EDITOR","1","2018-04-18 10:17:34",\N
" dok","duduk ","Malay","VOC_EDITOR","1","2018-04-18 10:17:34",\N
" gerai2","gerai-gerai","Malay","VOC_EDITOR","1","2018-04-18 10:17:34",\N
"auntie anne?s","auntie annes","Malay","VOC_EDITOR","1","2018-04-18 10:18:16",\N
"jakim","Jabatan Kemajuan Islam Malaysia","Malay","VOC_EDITOR","1","2018-04-18 10:21:29",\N
"cef","chef","Malay","VOC_EDITOR","1","2018-04-18 12:11:38",\N
"kj","Khairy Jamaludin ","Malay","VOC_EDITOR","1","2018-04-18 12:12:44",\N
" apabilaa","apabila","Malay","VOC_EDITOR","1","2018-04-18 12:12:44",\N
" serik2","serik-serik","Malay","VOC_EDITOR","1","2018-04-18 14:35:42",\N
" tiba2","tiba-tiba ","Malay","VOC_EDITOR","1","2018-04-18 14:37:00",\N
" jer","sahaja ","Malay","VOC_EDITOR","1","2018-04-18 14:37:00",\N
" dlm","dalam ","Malay","VOC_EDITOR","1","2018-04-18 14:37:00",\N
" duly","dulu","Malay","VOC_EDITOR","1","2018-04-18 14:37:00",\N
"mppg "," Majlis Perbandaran Pasir Gudang","Malay","VOC_EDITOR","1","2018-04-26 10:47:03",\N
"#gst","Goods and Services Tax","Malay","VOC_EDITOR","1","2018-04-26 11:53:04",\N
"brim","Bantuan Rakyat 1 Malaysia ","Malay","VOC_EDITOR","1","2018-04-26 15:09:27",\N
"dos","department of statistics","Malay","VOC_EDITOR","1","2018-04-26 16:31:27",\N
"dosm "," department of statistics malaysia ","Malay","VOC_EDITOR","1","2018-04-26 16:32:10",\N
" ke-rana","kerana","Malay","VOC_EDITOR","1","2018-04-26 16:32:16",\N
"peningkatan7","peningkatan 7","Malay","VOC_EDITOR","1","2018-04-26 16:36:10",\N
"ict","information and communication technology","Malay","VOC_EDITOR","1","2018-04-26 17:01:23",\N
" brg"," barang ","Malay","VOC_EDITOR","1","2018-04-26 17:03:29",\N
" sst","sales and service tax","English","VOC_EDITOR","1","2018-04-26 17:13:19",\N
"punyalagh"," punya lah ","Malay","VOC_EDITOR","1","2018-04-26 17:18:29",\N
" yb"," yang berhormat","Malay","VOC_EDITOR","1","2018-04-26 17:18:29",\N
" bn "," barisan nasional","Malay","VOC_EDITOR","1","2018-04-26 17:22:34",\N
"pasiaq","pasir","Malay","VOC_EDITOR","1","2018-04-27 09:49:59",\N
"yeaaaaaaayyyyy...!","yeah!","Malay","VOC_EDITOR","1","2018-04-27 09:52:53",\N
"percumq"," percuma","Malay","VOC_EDITOR","1","2018-04-27 10:02:20",\N
" tnya","tanya ","Malay","VOC_EDITOR","1","2018-04-27 10:06:35",\N
"kwasan2","kawasan-kawasan","Malay","VOC_EDITOR","1","2018-04-27 10:06:35",\N
"awk","awak","Malay","VOC_EDITOR","1","2018-04-27 10:06:35",\N
"rumah2","rumah-rumah","Malay","VOC_EDITOR","1","2018-04-27 10:06:35",\N
"pempuan","perempuan","Malay","VOC_EDITOR","1","2018-04-27 10:06:35",\N
"uma","rumah","Malay","VOC_EDITOR","1","2018-04-27 10:06:35",\N
"kalau2","kalau-kalau","Malay","VOC_EDITOR","1","2018-04-27 10:06:35",\N
"kwn2","kawan-kawan","Malay","VOC_EDITOR","1","2018-04-27 10:06:35",\N
"taun","tahun","Malay","VOC_EDITOR","1","2018-04-27 10:23:03",\N
"mknn","makanan","Malay","VOC_EDITOR","1","2018-04-27 10:23:03",\N
"12.01 a.m","12","Malay","VOC_EDITOR","1","2018-04-27 10:24:08",\N
"tpm","timbalan perdana menteri","Malay","VOC_EDITOR","1","2018-04-27 10:27:03",\N
"kejap","sekejap","Malay","VOC_EDITOR","1","2018-04-27 10:27:12",\N
" kasi","bagi","Malay","VOC_EDITOR","1","2018-04-27 10:32:09",\N
"lkim","lembaga kemajuan ikan malaysia","Malay","VOC_EDITOR","1","2018-04-27 10:37:53",\N
" ds","datuk seri","Malay","VOC_EDITOR","1","2018-04-27 10:39:51",\N
" den","saya","Malay","VOC_EDITOR","1","2018-04-27 10:42:12",\N
"mi ggu"," minggu ","Malay","VOC_EDITOR","1","2018-04-27 10:56:48",\N
" pung","pun","Malay","VOC_EDITOR","1","2018-04-27 10:56:48",\N
" mtff"," melaka tropical fruit farm ","Malay","VOC_EDITOR","1","2018-04-27 10:57:50",\N
" sg"," sungai ","Malay","VOC_EDITOR","1","2018-04-27 10:57:50",\N
"tatau","tak tahu ","Malay","VOC_EDITOR","1","2018-04-27 11:13:49",\N
"iklan2","iklan-iklan","Malay","MANUAL_TAG","1","2018-02-19 12:07:45","Selangor Twitter"
"2 x","dua kali","Malay","MANUAL_TAG","1","2018-02-19 00:00:00","Selangor Twitter"
"d","di","Malay","MANUAL_TAG","1","2018-02-19 00:00:00","Selangor Twitter"
"x de","tiada","Malay","MANUAL_TAG","1","2018-02-19 00:00:00","Selangor Twitter"
"xkutip","tak kutip","Malay","MANUAL_TAG","1","2018-02-19 00:00:00","Selangor Twitter"
"smpah","sampah","Malay","MANUAL_TAG","1","2018-02-19 00:00:00","Selangor Twitter"
"s@mp@h","sampah","Malay","MANUAL_TAG","1","2018-02-19 00:00:00","Selangor Twitter"
"berkilo2","berkilo-kilo","Malay","MANUAL_TAG","1","2018-02-19 14:58:49","Selangor Twitter"
"msk","masuk",\N,"MANUAL_TAG","1","2018-02-19 15:00:23","Selangor Twitter"
"xpham","tidak faham",\N,"MANUAL_TAG","1","2018-02-19 15:01:32","Selangor Twitter"
"mst","mesti",\N,"MANUAL_TAG","1","2018-02-19 15:02:10","Selangor Twitter"
"gngu","ganggu",\N,"MANUAL_TAG","1","2018-02-19 15:02:34","Selangor Twitter"
"taman2","taman-taman",\N,"MANUAL_TAG","1","2018-02-19 15:03:41","Selangor Twitter"
"krjn","kerajaan",\N,"MANUAL_TAG","1","2018-02-19 15:06:47","Selangor Twitter"
"trn","turun",\N,"MANUAL_TAG","1","2018-02-19 15:07:18","Selangor Twitter"
"berlobang2","berlubang-lubang",\N,"MANUAL_TAG","1","2018-02-19 00:00:00","Selangor Twitter"
"terhdp","terhadap",\N,"MANUAL_TAG","1","2018-02-19 17:08:15","Selangor Twitter"
"penternak2","penternak-penternak",\N,"MANUAL_TAG","1","2018-02-19 00:00:00","Selangor Twitter"
"haiku"," hai aku","Malay","VOC_EDITOR","1","2018-04-17 10:56:43",\N
"gst","Goods and Services Tax",\N,"VOC_EDITOR","1","2018-04-26 09:49:31",\N
" gst"," Goods and Services Tax","Malay","VOC_EDITOR","1","2018-04-26 10:11:35",\N
